package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_1,,text,26,Table 3: | Mode | AUTO-1 | AUTO-2 | AUTO-3,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_2,,mixed_numeric_text,55,AUTO1 | AUTO2 | AUTO3 | WCT | ADT,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_3,,mixed_numeric_text,107,Table 1: | 1968 | 1988 | Time | N,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_4,,mixed_numeric_text,150,"MEAN, MEDIAN, AND SAMPLE SIZE--TRAVEL TIME FOR WASHCOG REGION | H2W | 28.3 | (30.0) | 11633",,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_5,,mixed_numeric_text,137,AM AND PM PEAK PERIOD | W2H | 32.5 | (30.0) | 9124,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_6,,mixed_numeric_text,127,H2O | 19.2 | (15.0) | 3823 | 18.6,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_7,,mixed_numeric_text,120,O2H | 17.8 | (15.0) | 3656 | 19.9,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_8,,mixed_numeric_text,122,W2O | 27.3 | (25.0) | 996 | 26.6,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,5/26/92,,mixed_numeric_text,124,O2W | 24.4 | (20.0) | 341 | 25.8,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_10,,mixed_numeric_text,121,O2O | 17.9 | (15.0) | 738 | 17.8,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_11,,mixed_numeric_text,11,% | Change | 76.3888888888889 | 93.2659932659933 | 364.809782608696,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_12,,mixed_numeric_text,11,TOTAL | 1968 | 281.8 | 210.1 | 200.4,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_13,,numeric,9,1988 | 308.1 | 274.1 | 640.6 | 1222.8,30.4,1988,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/A_values.csv,,column_14,,mixed_numeric_text,11,% | Change | 9.33286018452804 | 30.4616849119467 | 219.660678642715,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 371 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,Table 1: Change in Person Work Trip Volume Between 1968 and 1988:,,text,7,ORIGIN | CENTER CITY | INNER SUBURBS | OUTER SUBURBS | TOTAL,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,column_2,,mixed_numeric_text,6,CENTER CITY | 1968 | 235.4 | 122.1 | 85.9,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,column_3,,numeric,5,1988 | 251.6 | 125.7 | 192.1 | 569.4,125.7,1988,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,column_4,,mixed_numeric_text,6,% | Change | 6.88190314358538 | 2.94840294840296 | 123.632130384168,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,column_5,,mixed_numeric_text,7,D E S T I N A T I O N | INNER SUBURBS | 1968 | 32 | 58.3,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,column_6,,numeric,5,1988 | 31.1 | 91 | 106.4 | 228.5,31.1,1988,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1994-03,The Rational Locator: Why Travel Times Have Remained Stable,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1994-03-the-rational-locator-why-travel-times-have-remained-stable,data/analysis_workbook/modernized/csv/B_values.csv,,column_7,,mixed_numeric_text,6,% | Change | -2.8125 | 56.0891938250429 | 160.146699266504,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
